time,",,,, , ",min1,temp1,max1,min2,temp2,max2,min3,temp3,max3,min4,temp4,max4
2019-07-30 12:00:00,33,30.20,31.60,32.50,25.10,25.20,25.30,25.90,26.00,26.10,30.30,31.50,32.30
2019-07-30 14:45:00,63,27.70,31.80,33.60,25.30,25.40,25.50,26.10,26.20,26.50,27.90,31.40,33.10
2019-07-30 20:00:00,62,22.90,24.90,27.60,25.50,25.50,25.50,26.30,26.50,26.60,22.60,25.00,27.70
2019-07-31 01:10:00,63,20.30,21.50,22.90,25.30,25.50,25.50,25.60,26.00,26.30,19.30,20.90,22.60
2019-07-31 06:25:00,62,20.30,22.90,26.10,24.90,25.20,25.40,24.70,25.50,25.60,19.30,21.80,26
2019-07-31 11:35:00,63,26.10,27.50,28.80,25.10,25.30,25.30,25.50,25.80,26,25.30,27.10,28.30
2019-07-31 16:50:00,62,24.10,26.90,28.60,25.30,25.30,25.40,26,26.10,26.20,23.80,26.30,28
2019-07-31 22:00:00,63,19.50,21.60,24,25,25.20,25.30,24.80,25.60,26.10,19.80,21.60,23.70
2019-08-01 03:15:00,62,18.50,19.00,19.80,23.80,24.70,25,23,24.30,24.90,18,18.60,19.80
2019-08-01 08:25:00,63,19.80,24.80,28.10,24.10,24.60,24.80,23.60,24.70,25,18.80,25.70,30
2019-08-01 13:40:00,62,27.50,28.30,29.30,24.80,24.90,25,25,25.30,25.50,27,28.60,30.30
2019-08-01 18:50:00,63,21.60,24.80,27.40,24.50,24.80,25,24.50,25.30,25.50,22,24.60,27
2019-08-02 00:05:00,62,19.60,20.50,21.50,23.80,24.40,24.50,23.10,23.70,24.50,19.60,20.60,21.90
2019-08-02 05:15:00,63,19.60,20.70,24.20,23,23.70,24.20,22.70,23.20,24,19.10,20.10,22.60
2019-08-02 10:30:00,62,24.30,27.30,29.30,23.90,24.20,24.50,24,24.40,24.70,22.60,27.60,30.40
2019-08-02 15:40:00,63,21.40,24.00,28.60,24.50,24.50,24.60,24.70,25.00,25.30,22.60,24.60,28
2019-08-02 20:55:00,62,19.80,21.00,22.50,23.60,24.10,24.60,24.70,24.80,25.20,19.70,21.00,22.50
2019-08-03 02:05:00,63,18.80,19.30,19.80,24.30,24.30,24.40,24.10,24.40,24.70,18.50,18.80,19.60
2019-08-03 07:20:00,62,19.80,21.10,24.10,23.30,23.90,24.50,23.10,23.70,24.20,18.70,20.00,24
2019-08-03 12:30:00,63,24.20,26.30,28.30,23.30,23.80,24.10,23.80,24.20,24.50,24.10,26.50,27.90
2019-08-03 17:45:00,62,22.90,25.80,28.30,24.10,24.30,24.30,24.60,24.80,25,22.50,25.20,27.60
2019-08-03 22:55:00,63,18.50,20.40,22.80,24.30,24.30,24.30,25,25.00,25,18.70,20.40,22.40
2019-08-04 04:10:00,62,17.60,18.40,20.80,24.20,24.20,24.30,25,25.00,25,17.60,18.30,21.30
2019-08-04 09:20:00,63,21.10,26.50,29.40,24.20,24.30,24.40,25,25.10,25.20,21.60,27.90,31.20
2019-08-04 14:35:00,62,29,29.70,30,24.40,24.50,24.50,25.30,25.70,26.40,30.50,31.10,31.70
2019-08-04 19:45:00,63,23.20,25.90,29,24.50,24.60,24.60,25.50,26.00,27.40,23,25.90,30.30
2019-08-05 01:00:00,62,22,22.40,23.10,24.10,24.30,24.50,24.50,24.90,25.50,21,21.80,22.90
2019-08-05 06:10:00,63,20.40,21.10,22.30,23.90,24.20,24.40,22,24.10,24.60,19.60,20.20,21
2019-08-05 11:25:00,62,22.10,27.30,29.60,24.30,24.40,24.60,24.50,24.90,25.10,20.80,26.40,29.90
2019-08-05 16:35:00,63,27.30,28.30,29.20,24.50,24.70,24.80,25.10,25.30,25.60,26.20,28.30,29.80
2019-08-05 21:50:00,62,24.40,25.80,27.30,24.80,24.80,24.80,24.80,25.30,25.60,23.60,24.80,26.10
2019-08-06 03:00:00,63,22.80,23.40,24.40,24.60,24.80,24.80,23.30,23.90,25,21.80,22.50,23.60
2019-08-06 08:15:00,62,23,23.80,25.70,24.60,24.70,24.80,23.50,24.80,25.10,21.80,22.70,25
2019-08-06 13:25:00,63,25.30,27.00,28.30,24.80,24.80,24.80,25.10,25.30,25.50,24.50,26.30,27.60
2019-08-06 18:40:00,62,21.10,24.00,28.10,24.80,24.90,25,25.50,25.60,25.70,21.30,23.80,27
2019-08-06 23:50:00,63,20.30,20.60,21.20,25,25.00,25,25.50,25.50,25.60,19.60,20.20,21.30
2019-08-07 05:05:00,62,20.50,21.10,22,24.80,25.00,25,24.60,25.30,25.50,19.50,20.40,21.70
2019-08-07 10:15:00,63,21.40,21.70,22.80,24.10,24.70,25,24.20,25.20,25.50,21.30,21.70,22.50
2019-08-07 15:30:00,62,21.70,22.20,23.30,24,24.40,24.60,24.30,24.90,25.10,20.50,21.40,22.60
2019-08-07 20:40:00,63,19.40,20.20,21.80,23.50,23.70,24,23.30,24.10,24.80,18.50,19.20,20.50
2019-08-08 01:55:00,61,19.10,19.30,19.50,23.30,23.60,23.80,22.40,22.70,23.30,18,18.10,18.50
2019-08-08 07:05:00,63,19.30,22.10,26.10,23.30,23.70,24,22.10,23.40,24,18,21.60,26.80
2019-08-08 12:20:00,62,25.70,28.30,30.10,24,24.10,24.30,24,24.30,24.60,26.10,27.80,28.50
2019-08-08 17:30:00,63,23.70,27.20,29.50,24.20,24.30,24.40,24.50,24.90,25.30,23.50,26.10,27.90
2019-08-08 22:45:00,62,20.30,21.60,23.60,23.70,24.10,24.50,23.50,24.20,24.90,20,21.40,23.30
2019-08-09 03:55:00,63,19.50,20.30,22.70,23.50,23.90,24,22.80,23.20,23.60,19.10,19.60,21.20
2019-08-09 09:10:00,62,22.90,27.10,29.50,23.60,23.90,24.10,23.70,24.10,24.40,21.40,25.90,29.40
